JID,JCR_Abbrev,Journal Name,Policy,Year_policy,All_Fields
1,CIRCULATION,CIRCULATION,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
2,J HEART LUNG TRANSPL,JOURNAL OF HEART AND LUNG TRANSPLANTATION,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY; TRANSPLANTATION
3,EUR J HEART FAIL,EUROPEAN JOURNAL OF HEART FAILURE,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
4,CIRC RES,CIRCULATION RESEARCH,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
5,BASIC RES CARDIOL,BASIC RESEARCH IN CARDIOLOGY,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
6,EUR J PREV CARDIOL,European Journal of Preventive Cardiology,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
7,CIRC-CARDIOVASC IMAG,Circulation-Cardiovascular Imaging,1,2019.0,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
8,J CARDIOVASC COMPUT,Journal of Cardiovascular Computed Tomography,0,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
9,INT J CARDIOVAS IMAG,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,0,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
10,CIRC-ARRHYTHMIA ELEC,Circulation-Arrhythmia and Electrophysiology,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
11,EUROPACE,EUROPACE,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
12,J CARD FAIL,JOURNAL OF CARDIAC FAILURE,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
13,CIRC-CARDIOVASC INTE,Circulation-Cardiovascular Interventions,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
14,FRONT CARDIOVASC MED,Frontiers in Cardiovascular Medicine,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
15,EUROINTERVENTION,EuroIntervention,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
16,JACC-CLIN ELECTROPHY,JACC-Clinical Electrophysiology,1,2020.0,CARDIAC & CARDIOVASCULAR SYSTEMS
17,HEART RHYTHM,HEART RHYTHM,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
18,J CARDIOVASC ELECTR,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
19,JACC-CARDIOONCOL,JACC: CardioOncology,1,2021.0,CARDIAC & CARDIOVASCULAR SYSTEMS; ONCOLOGY
20,J CARDIOVASC DEV DIS,Journal of Cardiovascular Development and Disease,0,,CARDIAC & CARDIOVASCULAR SYSTEMS
21,J NUCL CARDIOL,JOURNAL OF NUCLEAR CARDIOLOGY,0,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
22,HEART,HEART,1,2014.0,CARDIAC & CARDIOVASCULAR SYSTEMS
23,EUR J CARDIOVASC NUR,European Journal of Cardiovascular Nursing,0,,CARDIAC & CARDIOVASCULAR SYSTEMS; NURSING
