JID,JCR_Abbrev,Journal Name,Policy,Year_policy,All_Fields
1,CIRCULATION,CIRCULATION,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
4,CIRC RES,CIRCULATION RESEARCH,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
7,CIRC-CARDIOVASC IMAG,Circulation-Cardiovascular Imaging,1,2019.0,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
10,CIRC-ARRHYTHMIA ELEC,Circulation-Arrhythmia and Electrophysiology,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
13,CIRC-CARDIOVASC INTE,Circulation-Cardiovascular Interventions,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
16,JACC-CLIN ELECTROPHY,JACC-Clinical Electrophysiology,1,2020.0,CARDIAC & CARDIOVASCULAR SYSTEMS
19,JACC-CARDIOONCOL,JACC: CardioOncology,1,2021.0,CARDIAC & CARDIOVASCULAR SYSTEMS; ONCOLOGY
22,HEART,HEART,1,2014.0,CARDIAC & CARDIOVASCULAR SYSTEMS
25,CIRC-CARDIOVASC QUAL,Circulation-Cardiovascular Quality and Outcomes,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
28,J AM HEART ASSOC,Journal of the American Heart Association,1,2019.0,CARDIAC & CARDIOVASCULAR SYSTEMS
31,J MOL CELL CARDIOL,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,1,2021.0,CARDIAC & CARDIOVASCULAR SYSTEMS; CELL BIOLOGY
34,BRAIN,BRAIN,1,2013.0,CLINICAL NEUROLOGY; NEUROSCIENCES
37,STROKE,STROKE,1,2019.0,CLINICAL NEUROLOGY; PERIPHERAL VASCULAR DISEASE
40,NAT METAB,Nature Metabolism,1,2013.0,ENDOCRINOLOGY & METABOLISM
43,DIABETOLOGIA,DIABETOLOGIA,1,2018.0,ENDOCRINOLOGY & METABOLISM
46,DIABETES,DIABETES,1,2017.0,ENDOCRINOLOGY & METABOLISM
49,ANTIOXID REDOX SIGN,ANTIOXIDANTS & REDOX SIGNALING,1,2020.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM
52,J BONE MINER RES,JOURNAL OF BONE AND MINERAL RESEARCH,1,2019.0,ENDOCRINOLOGY & METABOLISM
55,J CEREBR BLOOD F MET,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,1,2018.0,ENDOCRINOLOGY & METABOLISM; HEMATOLOGY; NEUROSCIENCES
58,J MOL ENDOCRINOL,JOURNAL OF MOLECULAR ENDOCRINOLOGY,1,2020.0,ENDOCRINOLOGY & METABOLISM
61,NUTR DIABETES,Nutrition & Diabetes,1,2013.0,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
64,INT J OBESITY,INTERNATIONAL JOURNAL OF OBESITY,1,2013.0,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
67,NAT GENET,NATURE GENETICS,1,2013.0,GENETICS & HEREDITY
70,ONCOGENE,ONCOGENE,1,2013.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY; GENETICS & HEREDITY; ONCOLOGY
73,GENET MED,GENETICS IN MEDICINE,1,2013.0,GENETICS & HEREDITY
76,NPJ GENOM MED,npj Genomic Medicine,1,2013.0,GENETICS & HEREDITY
79,HORTIC RES-ENGLAND,Horticulture Research,1,2013.0,GENETICS & HEREDITY; HORTICULTURE; PLANT SCIENCES
